state,zip,agi
Alabama,35903,39042
Alabama,35904,38747
Alabama,35905,50469
Alabama,35906,51726
Alabama,35907,62666
Alabama,35950,37752
Alabama,35951,36729
Alabama,35952,41292
Alabama,35953,47297
Alabama,35954,37792
Alabama,35956,43731
Alabama,35957,40214
Alabama,35958,42841
Alabama,35959,45375
Alabama,35960,48441
Alabama,35961,35388
Alabama,35962,34732
Alabama,35963,36666
Alabama,35966,42366
Alabama,35967,41680
Alabama,35968,45852
Alabama,35971,41882
Alabama,35972,47656
Alabama,35973,39625
Alabama,35974,39189
Alabama,35975,40202
Alabama,35976,55021
Alabama,35978,40408
Alabama,35979,39583
Alabama,35980,37776
Alabama,35981,41666
Alabama,35983,46829
Alabama,35984,45065
Alabama,35986,45347
Alabama,35987,44140
Alabama,35988,39338
Alabama,35989,43699
Alabama,36003,39398
Alabama,36005,44318
Alabama,36006,46710
Alabama,36009,49158
Alabama,36010,36428
Alabama,36013,69642
Alabama,36016,35282
Alabama,36017,30720
Alabama,36020,39705
Alabama,36022,63008
Alabama,36024,53051
Alabama,36025,46549
Alabama,36026,56250
Alabama,36027,41237
Alabama,36028,39436
Alabama,36029,50320
Alabama,36030,33333
Alabama,36032,34254
Alabama,36033,37905
Alabama,36034,40725
Alabama,36035,45156
Alabama,36036,40548
Alabama,36037,40653
Alabama,36039,22500
Alabama,36040,29375
Alabama,36041,41666
Alabama,36042,44772
Alabama,36043,51796
Alabama,36046,45258
Alabama,36047,38333
Alabama,36048,35526
Alabama,36049,44911
Alabama,36051,43951
Alabama,36052,78750
Alabama,36053,33125
Alabama,36054,50848
Alabama,36064,83971
Alabama,36066,61046
Alabama,36067,53319
Alabama,36069,44728
Alabama,36071,32352
Alabama,36075,37645
Alabama,36078,47719
Alabama,36079,48368
Alabama,36080,62250
Alabama,36081,43631
Alabama,36083,32773
Alabama,36088,29834
Alabama,36089,31841
Alabama,36091,44701
Alabama,36092,49333
Alabama,36093,76873
Alabama,36104,36020
Alabama,36105,32644
Alabama,36106,62536
Alabama,36107,28858
Alabama,36108,27991
Alabama,36109,50121
Alabama,36110,26227
Alabama,36111,54043
Alabama,36113,65357
Alabama,36115,40178
Alabama,36116,39290
Alabama,36117,63768
Alabama,36201,30173
Alabama,36203,50014
Alabama,36205,51785
Alabama,36206,40326
Alabama,36207,55229
Alabama,36250,53292
Alabama,36251,42340
Alabama,36255,48571
Alabama,36256,43237
Alabama,36258,45696
Alabama,36260,42149
Alabama,36262,40931
Alabama,36263,42307
Alabama,36264,47067
Alabama,36265,47919
Alabama,36266,42443
Alabama,36268,44560
Alabama,36269,42777
Alabama,36271,48529
Alabama,36272,41352
Alabama,36273,50000
Alabama,36274,38109
Alabama,36276,41369
Alabama,36277,43615
Alabama,36278,49728
Alabama,36279,45093
Alabama,36280,44981
Alabama,36301,43505
Alabama,36303,48949
Alabama,36305,69274
Alabama,36310,42571
Alabama,36311,47716
Alabama,36312,49736
Alabama,36314,40500
Alabama,36316,52759
Alabama,36317,34375
Alabama,36318,50797
Alabama,36319,50710
Alabama,36320,41044
Alabama,36321,40709
Alabama,36322,43185
Alabama,36323,43285
Alabama,36330,56960
Alabama,36340,42354
Alabama,36343,35560
Alabama,36344,44021
Alabama,36345,54083
Alabama,36346,47954
Alabama,36350,45974
Alabama,36351,53846
Alabama,36352,52691
Alabama,36353,43674
Alabama,36360,46668
Alabama,36362,49439
Alabama,36370,40625
Alabama,36373,29166
Alabama,36374,49479
Alabama,36375,42545
Alabama,36376,39204
Alabama,36401,37233
Alabama,36420,47307
Alabama,36421,52754
Alabama,36425,32638
Alabama,36426,45244
Alabama,36432,38015
Alabama,36435,26250
Alabama,36436,38815
Alabama,36441,46919
Alabama,36442,38606
Alabama,36444,35227
Alabama,36445,42277
Alabama,36451,50654
Alabama,36453,47988
Alabama,36456,40104
Alabama,36460,48712
Alabama,36467,44212
Alabama,36471,34935
Alabama,36474,44642
Alabama,36475,40972
Alabama,36477,43529
Alabama,36480,49107
Alabama,36481,21590
Alabama,36482,30625
Alabama,36483,37500
Alabama,36502,41308
Alabama,36505,50604
Alabama,36507,47383
Alabama,36509,33283
Alabama,36511,34523
Alabama,36518,61320
Alabama,36521,51522
Alabama,36522,44832
Alabama,36523,42924
Alabama,36524,44047
Alabama,36525,53810
Alabama,36526,68007
Alabama,36527,84415
Alabama,36528,69301
Alabama,36529,52604
Alabama,36530,47209
Alabama,36532,71581
Alabama,36535,43142
Alabama,36538,35833
Alabama,36539,55092
Alabama,36540,30067
Alabama,36541,50491
Alabama,36542,53745
Alabama,36544,42316
Alabama,36545,47916
Alabama,36548,59183
Alabama,36549,51518
Alabama,36551,49666
Alabama,36553,42480
Alabama,36555,67324
Alabama,36558,53007
Alabama,36560,35778
Alabama,36561,69063
Alabama,36562,44006
Alabama,36567,45121
Alabama,36569,53629
Alabama,36571,56853
Alabama,36572,62585
Alabama,36574,50669
Alabama,36575,51588
Alabama,36576,48529
Alabama,36578,57164
Alabama,36579,50342
Alabama,36580,43464
Alabama,36582,46128
Alabama,36583,64062
Alabama,36584,49074
Alabama,36585,50000
Alabama,36587,46648
Alabama,36602,57880
Alabama,36603,25000
Alabama,36604,50155
Alabama,36605,31480
Alabama,36606,38965
Alabama,36607,44734
Alabama,36608,58462
Alabama,36609,45359
Alabama,36610,21549
Alabama,36611,32468
Alabama,36612,23071
Alabama,36613,37397
Alabama,36617,26173
Alabama,36618,40355
Alabama,36619,54364
Alabama,36693,56471
Alabama,36695,63793
Alabama,36701,39786
Alabama,36703,30810
Alabama,36720,22656
Alabama,36722,29166
Alabama,36726,40760
Alabama,36728,30092
Alabama,36732,48531
Alabama,36736,36750
Alabama,36738,30067
Alabama,36740,33333
Alabama,36742,47606
Alabama,36744,36450
Alabama,36748,46496
Alabama,36749,41987
Alabama,36750,45326
Alabama,36751,25735
Alabama,36752,49315
Alabama,36754,30000
Alabama,36756,36111
Alabama,36758,43500
Alabama,36759,35169
Alabama,36761,37500
Alabama,36765,28826
Alabama,36767,29794
Alabama,36768,30000
Alabama,36769,33558
Alabama,36773,29687
Alabama,36775,33467
Alabama,36776,26483
Alabama,36782,45982
Alabama,36783,47265
Alabama,36784,48219
Alabama,36785,35714
Alabama,36786,25098
Alabama,36790,44318
Alabama,36792,46875
Alabama,36793,41447
Alabama,36801,45859
Alabama,36804,45053
Alabama,36830,68337
Alabama,36832,42213
Alabama,36850,33452
Alabama,36852,37254
Alabama,36853,54628
Alabama,36854,40494
Alabama,36855,42324
Alabama,36856,48717
Alabama,36858,33750
Alabama,36860,32276
Alabama,36861,53503
Alabama,36862,36607
Alabama,36863,36354
Alabama,36866,39531
Alabama,36867,43633
Alabama,36869,34883
Alabama,36870,47061
Alabama,36871,39062
Alabama,36874,52834
Alabama,36875,44281
Alabama,36877,51267
Alabama,36879,68750
Alabama,36904,51041
Alabama,36907,35000
Alabama,36908,57758
Alabama,36912,31617
Alabama,36915,52840
Alabama,36916,48913
Alabama,36919,45205
Alabama,36921,52616
Alabama,36922,28125
Alabama,36925,27685
Arizona,85003,64271
Arizona,85004,65131
Arizona,85006,34871
Arizona,85007,44397
Arizona,85008,33679
Arizona,85009,26268
Arizona,85012,78285
Arizona,85013,59730
Arizona,85014,51703
Arizona,85015,33985
Arizona,85016,64502
Arizona,85017,25915
Arizona,85018,82172
Arizona,85019,29233
Arizona,85020,61357
Arizona,85021,51593
Arizona,85022,56674
Arizona,85023,52537
Arizona,85024,65350
Arizona,85027,49096
Arizona,85028,85066
Arizona,85029,39702
Arizona,85031,26876
Arizona,85032,51056
Arizona,85033,28113
Arizona,85034,33793
Arizona,85035,27511
Arizona,85037,36199
Arizona,85040,30794
Arizona,85041,38096
Arizona,85042,45239
Arizona,85043,37116
Arizona,85044,70197
Arizona,85045,109296
Arizona,85048,89496
Arizona,85050,86914
Arizona,85051,34954
Arizona,85053,44375
Arizona,85054,86370
Arizona,85083,94189
Arizona,85085,84756
Arizona,85086,82163
Arizona,85087,74736
Arizona,85118,74877
Arizona,85119,50234
Arizona,85120,38460
Arizona,85122,45972
Arizona,85128,39213
Arizona,85131,38141
Arizona,85132,50163
Arizona,85137,49228
Arizona,85138,57109
Arizona,85139,49764
Arizona,85140,56948
Arizona,85142,71313
Arizona,85143,50964
Arizona,85145,55063
Arizona,85172,37500
Arizona,85173,41709
Arizona,85192,46093
Arizona,85193,37090
Arizona,85194,60054
Arizona,85201,36137
Arizona,85202,44451
Arizona,85203,49485
Arizona,85204,38990
Arizona,85205,54735
Arizona,85206,50755
Arizona,85207,72177
Arizona,85208,44350
Arizona,85209,59324
Arizona,85210,37845
Arizona,85212,71021
Arizona,85213,66843
Arizona,85215,70217
Arizona,85224,59459
Arizona,85225,50837
Arizona,85226,72449
Arizona,85233,69268
Arizona,85234,72226
Arizona,85248,87125
Arizona,85249,96774
Arizona,85250,70856
Arizona,85251,64748
Arizona,85253,134375
Arizona,85254,89998
Arizona,85255,121513
Arizona,85256,39285
Arizona,85257,52951
Arizona,85258,95979
Arizona,85259,105927
Arizona,85260,85681
Arizona,85262,131322
Arizona,85263,117638
Arizona,85264,60820
Arizona,85266,123573
Arizona,85268,85011
Arizona,85281,37785
Arizona,85282,49164
Arizona,85283,53428
Arizona,85284,102365
Arizona,85286,87310
Arizona,85295,76774
Arizona,85296,74795
Arizona,85297,83346
Arizona,85298,95540
Arizona,85301,27998
Arizona,85302,41251
Arizona,85303,38209
Arizona,85304,53803
Arizona,85305,54564
Arizona,85306,48951
Arizona,85307,44616
Arizona,85308,65251
Arizona,85309,12500
Arizona,85310,78027
Arizona,85321,39615
Arizona,85322,42708
Arizona,85323,39470
Arizona,85324,41071
Arizona,85326,47249
Arizona,85331,97450
Arizona,85333,28750
Arizona,85335,37761
Arizona,85337,35204
Arizona,85338,60613
Arizona,85339,51523
Arizona,85340,74697
Arizona,85342,51201
Arizona,85344,39630
Arizona,85345,43548
Arizona,85347,34375
Arizona,85348,38319
Arizona,85350,31640
Arizona,85351,45673
Arizona,85353,40314
Arizona,85354,43532
Arizona,85355,73267
Arizona,85356,45060
Arizona,85361,50254
Arizona,85363,36527
Arizona,85364,41807
Arizona,85365,54075
Arizona,85367,54884
Arizona,85373,56930
Arizona,85374,57410
Arizona,85375,64936
Arizona,85379,59911
Arizona,85381,62664
Arizona,85382,64673
Arizona,85383,93832
Arizona,85387,69662
Arizona,85388,61117
Arizona,85390,52075
Arizona,85392,53624
Arizona,85395,84318
Arizona,85396,76743
Arizona,85501,48356
Arizona,85533,55102
Arizona,85534,52906
Arizona,85539,43685
Arizona,85540,74208
Arizona,85541,50596
Arizona,85542,27016
Arizona,85543,53300
Arizona,85544,57743
Arizona,85545,37500
Arizona,85546,51457
Arizona,85552,59375
Arizona,85602,48743
Arizona,85603,43398
Arizona,85606,43359
Arizona,85607,31319
Arizona,85610,42682
Arizona,85611,55303
Arizona,85613,42281
Arizona,85614,62475
Arizona,85615,63399
Arizona,85616,44927
Arizona,85617,45000
Arizona,85618,40301
Arizona,85621,31158
Arizona,85622,71400
Arizona,85623,62960
Arizona,85624,48798
Arizona,85625,42636
Arizona,85629,65132
Arizona,85630,51988
Arizona,85631,41735
Arizona,85632,42708
Arizona,85634,36050
Arizona,85635,53287
Arizona,85637,78571
Arizona,85638,37797
Arizona,85640,55172
Arizona,85641,79302
Arizona,85643,42120
Arizona,85645,39743
Arizona,85648,42660
Arizona,85650,74764
Arizona,85653,52158
Arizona,85658,85769
Arizona,85701,44696
Arizona,85704,63354
Arizona,85705,28420
Arizona,85706,27688
Arizona,85708,46093
Arizona,85710,43399
Arizona,85711,40671
Arizona,85712,42107
Arizona,85713,30839
Arizona,85714,26904
Arizona,85715,65204
Arizona,85716,45297
Arizona,85718,100782
Arizona,85719,39662
Arizona,85730,43314
Arizona,85735,44852
Arizona,85736,39553
Arizona,85737,84993
Arizona,85739,75245
Arizona,85741,49848
Arizona,85742,63002
Arizona,85743,67034
Arizona,85745,56376
Arizona,85746,37632
Arizona,85747,70070
Arizona,85748,67689
Arizona,85749,89776
Arizona,85750,97108
Arizona,85755,94971
Arizona,85756,40637
Arizona,85757,43003
Arizona,85901,49090
Arizona,85920,57065
Arizona,85924,42361
Arizona,85925,53231
Arizona,85928,48177
Arizona,85929,48551
Arizona,85935,60638
Arizona,85936,49626
Arizona,85937,49593
Arizona,85938,49069
Arizona,86001,53150
Arizona,86004,56290
Arizona,86005,64390
Arizona,86022,34417
Arizona,86024,65000
Arizona,86025,41666
Arizona,86030,28289
Arizona,86034,32661
Arizona,86036,29166
Arizona,86039,32589
Arizona,86042,33928
Arizona,86043,26724
Arizona,86044,35217
Arizona,86045,38660
Arizona,86046,47050
Arizona,86047,40859
Arizona,86301,57719
Arizona,86303,62288
Arizona,86305,71745
Arizona,86314,41661
Arizona,86315,64686
Arizona,86321,75000
Arizona,86322,43115
Arizona,86323,46174
Arizona,86324,50065
Arizona,86325,54114
Arizona,86326,43525
Arizona,86327,51708
Arizona,86332,41228
Arizona,86333,38825
Arizona,86334,40234
Arizona,86335,38700
Arizona,86336,67270
Arizona,86351,74609
Arizona,86401,50618
Arizona,86403,42097
Arizona,86404,50594
Arizona,86406,53532
Arizona,86409,39801
Arizona,86413,33992
Arizona,86426,44340
Arizona,86429,47166
Arizona,86434,37298
Arizona,86436,37890
Arizona,86440,40120
Arizona,86441,30500
Arizona,86442,34917
Arizona,86444,39144
Arizona,86445,33333
Arizona,86514,34672
California,71601,28752
California,71602,48927
California,71603,44432
California,71631,32291
California,71635,46927
California,71638,34891
California,71639,38575
California,71640,30940
California,71642,40909
California,71643,34090
California,71644,39224
California,71646,48605
California,71647,42307
California,71652,40853
California,71653,47538
California,71654,46235
California,71655,47620
California,71658,29545
California,71660,48214
California,71663,49107
California,71665,53750
California,71667,46724
California,71670,44607
California,71671,40514
California,71674,40760
California,71675,46283
California,71676,26785
California,71701,45150
California,71720,42912
California,71725,31547
California,71726,36413
California,71730,52261
California,71740,49404
California,71742,38357
California,71743,37420
California,71744,48369
California,71747,39705
California,71749,51485
California,71751,48046
California,71752,40073
California,71753,49536
California,71758,54687
California,71762,53301
California,71763,45625
California,71764,40530
California,71765,40178
California,71766,38500
California,71770,41129
California,71801,38201
California,71822,48335
California,71825,38541
California,71826,39864
California,71827,36637
California,71832,39231
California,71833,44512
California,71834,46195
California,71835,43112
California,71836,44907
California,71837,45502
California,71838,32638
California,71841,41071
California,71842,44936
California,71845,37012
California,71846,44605
California,71847,45454
